NAMESPACE            NAME                                                              READY   STATUS      RESTARTS          AGE
ilens-core           pod/pod-status-infra-28989345-4z2pk                               0/1     Pending     0                 4d15h
ilens-core           pod/infra-mongo-backup-28989360-fxzjg                             0/1     Pending     0                 4d15h
ilens-core           pod/pod-status-infra-28989360-nb4cl                               0/1     Pending     0                 4d15h
ilens-core           pod/infra-kairosdb-incremental-backup-28989360-594t4              0/1     Pending     0                 4d15h
ilens-core           pod/kafka-lag-alerts-28989360-5q6kr                               0/1     Pending     0                 4d15h
ilens-core           pod/infra-arango-backup-28989360-d2b4d                            0/1     Pending     0                 4d15h
ilens-core           pod/pod-status-infra-28989375-sdnvd                               0/1     Pending     0                 4d15h
ilens-core           pod/pod-status-infra-28989390-d6brd                               0/1     Pending     0                 4d14h
ilens-core           pod/kafka-lag-alerts-28989390-qs88g                               0/1     Pending     0                 4d14h
ilens-core           pod/pod-status-infra-28989405-r9gpv                               0/1     Pending     0                 4d14h
ilens-core           pod/pod-status-infra-28989420-kp6qd                               0/1     Pending     0                 4d14h
ilens-core           pod/kafka-lag-alerts-28989420-7mrlc                               0/1     Pending     0                 4d14h
ilens-core           pod/pod-status-infra-28989435-lmnhx                               0/1     Pending     0                 4d14h
ilens-core           pod/kafka-lag-alerts-28989450-lxvtv                               0/1     Pending     0                 4d13h
ilens-core           pod/pod-status-infra-28989450-k6drd                               0/1     Pending     0                 4d13h
ilens-core           pod/pod-status-infra-28989465-m92vh                               0/1     Pending     0                 4d13h
ilens-core           pod/pod-status-infra-28989480-48bl8                               0/1     Pending     0                 4d13h
ilens-core           pod/kafka-lag-alerts-28989480-z6bv4                               0/1     Pending     0                 4d13h
ilens-core           pod/pod-status-infra-28989495-7tctj                               0/1     Pending     0                 4d13h
ilens-core           pod/kafka-lag-alerts-28989510-nk6rg                               0/1     Pending     0                 4d12h
ilens-core           pod/pod-status-infra-28989510-rgpg8                               0/1     Pending     0                 4d12h
ilens-core           pod/pod-status-infra-28989525-75l85                               0/1     Pending     0                 4d12h
ilens-core           pod/infra-arango-backup-28989540-kd7rp                            0/1     Pending     0                 4d12h
ilens-core           pod/kafka-lag-alerts-28989540-x2tjl                               0/1     Pending     0                 4d12h
ilens-core           pod/pod-status-infra-28989540-8gx82                               0/1     Pending     0                 4d12h
ilens-core           pod/infra-mongo-backup-28989540-rbbm7                             0/1     Pending     0                 4d12h
ilens-core           pod/pod-status-infra-28989555-sxlc4                               0/1     Pending     0                 4d12h
ilens-core           pod/kafka-lag-alerts-28989570-qdrz5                               0/1     Pending     0                 4d11h
ilens-core           pod/pod-status-infra-28989570-ltrdx                               0/1     Pending     0                 4d11h
ilens-core           pod/pod-status-infra-28989585-8z7tz                               0/1     Pending     0                 4d11h
ilens-core           pod/kafka-lag-alerts-28989600-k492p                               0/1     Pending     0                 4d11h
ilens-core           pod/pod-status-infra-28989600-tvvt7                               0/1     Pending     0                 4d11h
ilens-core           pod/pod-status-core-28989615-2vg62                                0/1     Pending     0                 4d11h
ilens-core           pod/pod-status-infra-28989615-zhcsc                               0/1     Pending     0                 4d11h
ilens-core           pod/pod-status-infra-28989630-cx9gk                               0/1     Pending     0                 4d10h
ilens-core           pod/kafka-lag-alerts-28989630-86d6b                               0/1     Pending     0                 4d10h
ilens-core           pod/pod-status-infra-28989645-cpdvw                               0/1     Pending     0                 4d10h
ilens-core           pod/pod-status-infra-28989660-sl4pm                               0/1     Pending     0                 4d10h
ilens-core           pod/kafka-lag-alerts-28989660-4qbcx                               0/1     Pending     0                 4d10h
ilens-core           pod/pod-status-infra-28989675-xzqgd                               0/1     Pending     0                 4d10h
ilens-core           pod/kafka-lag-alerts-28989690-4gnrr                               0/1     Pending     0                 4d9h
ilens-core           pod/pod-status-infra-28989690-qwmhk                               0/1     Pending     0                 4d9h
ilens-core           pod/pod-status-infra-28989705-gjdsh                               0/1     Pending     0                 4d9h
ilens-core           pod/infra-redis-backup-28989720-wmspw                             0/1     Pending     0                 4d9h
ilens-core           pod/kafka-lag-alerts-28989720-jjmm2                               0/1     Pending     0                 4d9h
ilens-core           pod/pod-status-infra-28989720-brzbw                               0/1     Pending     0                 4d9h
ilens-core           pod/infra-postgres-backup-28989720-7rdb9                          0/1     Pending     0                 4d9h
ilens-core           pod/infra-kairosdb-incremental-backup-28989720-bljg9              0/1     Pending     0                 4d9h
ilens-core           pod/infra-mongo-backup-28989720-sblrs                             0/1     Pending     0                 4d9h
ilens-core           pod/infra-arango-backup-28989720-z5hvl                            0/1     Pending     0                 4d9h
ilens-core           pod/pod-status-infra-28989735-jvg2m                               0/1     Pending     0                 4d9h
ilens-core           pod/kafka-lag-alerts-28989750-4ctz5                               0/1     Pending     0                 4d8h
ilens-core           pod/pod-status-infra-28989750-v5zgk                               0/1     Pending     0                 4d8h
ilens-core           pod/pod-status-infra-28989765-7rbvg                               0/1     Pending     0                 4d8h
